------
Drone: 1
id=0, command=command, response=None, start_time=2023-03-20 17:37:58.235945, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-03-20 17:44:26.496048, end_time=None, duration=None
------
Drone: 15
id=0, command=command, response=None, start_time=2023-03-20 17:37:58.237491, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-20 17:38:03.278850, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-20 17:38:08.298586, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-20 17:38:13.315349, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-20 17:38:18.337838, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-20 17:38:23.365510, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-20 17:38:28.397152, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-20 17:38:33.419748, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-20 17:38:38.444524, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-20 17:39:06.633489, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-20 17:41:02.864255, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-20 17:41:07.905718, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-20 17:41:12.930855, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-20 17:41:44.947567, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-20 17:42:13.403855, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-20 17:42:18.424726, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-20 17:42:23.452489, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-20 17:42:28.475057, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-20 17:42:33.493432, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-20 17:42:38.513721, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-20 17:42:43.529244, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-03-20 17:42:48.546815, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-03-20 17:44:26.496048, end_time=None, duration=None
------
Drone: 16
id=0, command=command, response=None, start_time=2023-03-20 17:37:58.237491, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-20 17:38:03.278850, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-20 17:38:08.298586, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-20 17:38:13.315349, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-20 17:38:18.337838, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-20 17:38:23.365510, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-20 17:38:28.397152, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-20 17:38:33.419748, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-20 17:38:38.444524, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-20 17:39:06.633489, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-20 17:41:02.865289, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-20 17:41:07.905718, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-20 17:41:12.930855, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-20 17:41:44.947567, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-20 17:42:13.403855, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-20 17:42:18.424726, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-20 17:42:23.452489, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-20 17:42:28.475057, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-20 17:42:33.493432, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-20 17:42:38.513721, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-20 17:42:43.529244, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-03-20 17:42:48.546815, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-03-20 17:44:26.496048, end_time=None, duration=None
------
Drone: 17
id=0, command=command, response=None, start_time=2023-03-20 17:37:58.237491, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-20 17:38:03.278850, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-20 17:38:08.298586, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-20 17:38:13.315349, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-20 17:38:18.337838, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-20 17:38:23.365510, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-20 17:38:28.398149, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-20 17:38:33.419748, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-20 17:38:38.444524, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-20 17:39:06.633489, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-20 17:41:02.865289, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-20 17:41:07.905718, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-20 17:41:12.930855, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-20 17:41:44.947567, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-20 17:42:13.403855, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-20 17:42:18.428877, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-20 17:42:23.452489, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-20 17:42:28.475057, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-20 17:42:33.493432, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-20 17:42:38.513721, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-20 17:42:43.529244, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-03-20 17:42:48.546815, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-03-20 17:44:26.496048, end_time=None, duration=None
------
Drone: 18
id=0, command=command, response=None, start_time=2023-03-20 17:37:58.238491, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-20 17:38:03.278850, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-20 17:38:08.298586, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-20 17:38:13.315349, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-20 17:38:18.337838, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-20 17:38:23.365510, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-03-20 17:38:28.398149, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-03-20 17:38:33.421508, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-03-20 17:38:38.444524, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-03-20 17:39:06.633489, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-03-20 17:41:02.865289, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-03-20 17:41:07.905718, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-03-20 17:41:12.930855, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-03-20 17:41:44.947567, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-03-20 17:42:13.403855, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-03-20 17:42:18.428877, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-03-20 17:42:23.452489, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-03-20 17:42:28.475057, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-03-20 17:42:33.493432, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-03-20 17:42:38.513721, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-03-20 17:42:43.529244, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-03-20 17:42:48.546815, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-03-20 17:44:26.496048, end_time=None, duration=None
------
Drone: 19
id=0, command=command, response=None, start_time=2023-03-20 17:37:58.238491, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-03-20 17:38:03.278850, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-03-20 17:38:08.298586, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-03-20 17:38:13.315349, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-03-20 17:38:18.337838, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-03-20 17:38:23.365510, end_time=None, duration=None
